audio, image, foil, correct, sample, time, trigger, group, i_trial, block, response_time, subject
calm, palm, I, 1, 344926, 285.103, 1, 201, 75, B1, 1.802, WPM_02
bat, bird, S, 1, 349081, 288.537, 3, 202, 76, B1, 2.038, WPM_02
king, queen, S, 1, 353500, 292.19, 3, 202, 77, B1, 1.705, WPM_02
type, handwrite, S, 1, 357471, 295.472, 3, 202, 78, B1, 1.949, WPM_02
tape, paperclip, S, 1, 361725, 298.988, 3, 202, 79, B1, 2.035, WPM_02
babe, bib, V, 1, 366135, 302.633, 2, 201, 80, B1, 1.93, WPM_02
gun, gum, F, 1, 370396, 306.155, 1, 201, 81, B1, 1.948, WPM_02
dart, dart, M, 1, 374720, 309.729, 4, 203, 82, B1, 1.478, WPM_02
boot, sneaker, S, 1, 378462, 312.822, 3, 202, 83, B1, 1.587, WPM_02
bag, bag, M, 1, 382342, 316.029, 4, 203, 84, B1, 1.628, WPM_02
bike, skateboard, S, 1, 386283, 319.287, 3, 202, 85, B1, 1.575, WPM_02
pig, cow, S, 1, 390150, 322.483, 3, 202, 86, B1, 1.654, WPM_02
pan, pan, M, 0, 394107, 325.754, 4, 303, 87, B1, 1.958, WPM_02
bark, meow, S, 0, 398441, 329.336, 3, 302, 88, B1, 1.967, WPM_02
boot, boot, M, 1, 402795, 332.935, 4, 203, 89, B1, 1.614, WPM_02
part, tart, I, 1, 406666, 336.135, 1, 201, 90, B1, 1.959, WPM_02
tack, tack, M, 1, 411016, 339.73, 4, 203, 91, B1, 1.543, WPM_02
boat, boat, M, 1, 414838, 342.889, 4, 203, 92, B1, 1.637, WPM_02
bait, boot, V, 1, 418790, 346.156, 2, 201, 93, B1, 1.637, WPM_02
peck, peck, M, 1, 422733, 349.415, 4, 203, 94, B1, 1.762, WPM_02
beg, peg, I, 1, 426800, 352.777, 1, 201, 95, B1, 1.838, WPM_02
duck, duck, M, 1, 430996, 356.245, 4, 203, 96, B1, 1.807, WPM_02
coop, cup, V, 1, 435152, 359.68, 2, 201, 97, B1, 1.895, WPM_02
cob, cub, V, 1, 439350, 363.15, 2, 201, 98, B1, 1.794, WPM_02
coin, coin, M, 1, 443445, 366.535, 4, 203, 99, B1, 1.521, WPM_02
cap, cap, M, 1, 447235, 369.667, 4, 203, 100, B1, 1.494, WPM_02
dirt, stones, S, 0, 31894, 26.363, 3, 302, 1, B2, 1.956, WPM_02
dock, dock, M, 1, 36379, 30.07, 4, 203, 2, B2, 1.536, WPM_02
comb, comb, M, 1, 40178, 33.21, 4, 203, 3, B2, 1.429, WPM_02
kick, tick, I, 1, 43868, 36.26, 1, 201, 4, B2, 1.645, WPM_02
coin, coin, M, 1, 47800, 39.51, 4, 203, 5, B2, 1.329, WPM_02
tub, tub, M, 1, 51300, 42.403, 4, 203, 6, B2, 1.457, WPM_02
duck, duck, M, 1, 54959, 45.428, 4, 203, 7, B2, 1.597, WPM_02
part, tart, I, 1, 58850, 48.644, 1, 201, 8, B2, 1.738, WPM_02
bud, leaf, S, 1, 62901, 51.992, 3, 202, 9, B2, 1.662, WPM_02
pick, puck, V, 1, 66808, 55.222, 2, 201, 10, B2, 1.93, WPM_02
kite, balloon, S, 1, 71102, 58.771, 3, 202, 11, B2, 1.589, WPM_02
